Brand,Price,Material,Movement,Dial Color,Strap Type,Water Resistance,Case Size,Features,Age
Seiko,150,Stainless steel,Quartz,Black,Leather,30 meters,38mm,Chronograph,5 years
Rolex,500,Gold,Mechanical,White,Metal,50 meters,42mm,Date,10 years
Omega,2000,Silver,Automatic,Blue,Rubber,100 meters,45mm,Calendar,20 years
Casio,10000,Titanium,Kinetic,Silver,Fabric,200 meters,36mm,Alarm,30 years
Tag Heuer,300,Leather,Quartz,Green,Leather,30 meters,40mm,Tachymeter,50 years
Citizen,750,Stainless steel,Quartz,Red,Metal,50 meters,38mm,Telemeter,100 years
Bulova,1500,Gold,Mechanical,Black,Leather,100 meters,42mm,Chronograph,20 years
Tissot,8000,Titanium,Automatic,White,Rubber,200 meters,45mm,Calendar,30 years
Timex,250,Stainless steel,Quartz,Blue,Metal,30 meters,36mm,Alarm,50 years
Fossil,600,Leather,Quartz,Silver,Leather,50 meters,40mm,Tachymeter,100 years
